genres
Vampire
Showbiz
Gore
Boys Love
Delinquents
Adult Cast
Mecha
Award Winning
Love Polygon
Combat Sports
Avant Garde
Action
Shounen
CGDCT
Survival
Psychological
Magical Sex Shift
Visual Arts
Reverse Harem
Kids
Strategy Game
Ecchi
Racing
Drama
Reincarnation
Military
Mythology
Martial Arts
Video Game
Girls Love
Romance
Slice of Life
Music
High Stakes Game
Isekai
School
Mahou Shoujo
Adventure
Supernatural
Seinen
Detective
Romantic Subtext
Iyashikei
Otaku Culture
Childcare
Shoujo
Super Power
Gourmet
Time Travel
Space
Crossdressing
Pets
Idols (Male)
Fantasy
Performing Arts
Gag Humor
Organized Crime
Anthropomorphic
Samurai
Suspense
Historical
Mystery
Comedy
Horror
Idols (Female)
Educational
Harem
Workplace
Josei
Medical
Hentai
Team Sports
Sci-Fi
Parody
Sports
