genres
Action
Adult Cast
Adventure
Anthropomorphic
Avant Garde
Award Winning
Boys Love
CGDCT
Childcare
Combat Sports
Comedy
Crossdressing
Delinquents
Detective
Drama
Ecchi
Educational
Fantasy
Gag Humor
Girls Love
Gore
Gourmet
Harem
Hentai
High Stakes Game
Historical
Horror
Idols (Female)
Idols (Male)
Isekai
Iyashikei
Josei
Kids
Love Polygon
Magical Sex Shift
Mahou Shoujo
Martial Arts
Mecha
Medical
Military
Music
Mystery
Mythology
Organized Crime
Otaku Culture
Parody
Performing Arts
Pets
Psychological
Racing
Reincarnation
Reverse Harem
Romance
Romantic Subtext
Samurai
School
Sci-Fi
Seinen
Shoujo
Shounen
Showbiz
Slice of Life
Space
Sports
Strategy Game
Super Power
Supernatural
Survival
Suspense
Team Sports
Time Travel
Vampire
Video Game
Visual Arts
Workplace
